Modelo,Acurácia,Precisão (macro),Recall (macro),F1 (macro)
SVM (RBF),0.6581632653061225,0.668752652576182,0.6495453076335429,0.6520813261828202
Random Forest,0.6275510204081632,0.6131580453379762,0.6164061428767311,0.6008877559194461
KNN (k=7),0.5510204081632653,0.6140828031617505,0.5402044034396977,0.5370092122697736
