area,perimeter,circularity,solidity,extent,eccentricity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,mean_B,std_B,mean_G,std_G,mean_R,std_R,mean_H,std_H,mean_S,std_S,mean_V,std_V,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
44837.5,1117.4183900356293,0.45125250381482235,0.9458290704665071,0.725807757057757,0.8102705508358431,3.140350085154118,6.936112552668428,9.991110598157091,9.999923109180234,10.0,-9.999999990213308,-10.0,103.0803273986807,30.907312998345052,134.3924151168178,25.431831623115823,155.4126458843515,17.92712902100864,18.555474661901297,4.79485907270436,88.7783440333576,36.86910744126325,155.4126458843515,17.92712902100864,23.724929575057864,0.7319289872930655,0.2718964183161231,0.952041802231554
38073.5,888.6488363742828,0.6058600455509813,0.9666514332140046,0.6316841703582035,0.8923032445953973,3.0789538232670455,6.523761449673102,9.984520304648527,9.997514700185485,9.999999999999996,9.999998993837258,9.999999999999998,137.05884953450877,18.29930066517396,158.70440006241222,17.04425425465874,168.19646850782755,16.69247911208378,21.937171685650387,13.122243529921112,47.65317002132418,12.667490585953182,168.19935507359443,16.69476988613786,22.70170627746277,0.8343032241981208,0.3674340776778679,0.9691604009470831
32023.5,733.1097325086594,0.7487566458189864,0.9885016668724534,0.6602783505154639,0.8412196590836594,3.131567826957199,6.850319147521694,9.924289431044093,9.995808316424673,-9.999999999999984,-9.999998522859718,9.999999999999993,87.49964437022605,22.931181334611136,125.16971271299131,17.522391116840456,157.51034418777252,11.932242643595947,16.238612116151778,1.925305791508101,114.67442867303708,27.917120736923508,157.51034418777252,11.932242643595947,20.00035278596358,0.7189037218068596,0.33632134565075367,0.9584130304281341
32069.5,735.0508584976196,0.7458771016342868,0.9819348122292135,0.6374378851123037,0.831041028888933,3.1326137082647723,6.83926017985976,9.958281609545622,9.997441569751945,-9.999999999999996,-9.999999388779347,9.999999999999995,135.0605639457673,28.629972971715688,171.5162605392384,17.53023638485483,192.52061521356435,11.812429623163,18.77031409246734,11.023015302587961,76.63581333580407,34.822300199901726,192.52144908737145,11.810310160932868,24.264154314367236,0.8136438055002503,0.36795083169873416,0.9719795550835648
38013.0,744.9259684085846,0.8608268037102066,0.9919238045534607,0.7867905783002856,0.5307966936016536,3.1963631845222613,7.922341610258395,9.98496016434233,9.999894659312096,-10.0,-9.999999988833906,-10.0,122.19826282017841,15.580820245606347,152.23660597840262,10.439363014595337,167.9973655381084,10.061738488222458,19.60133548959257,3.362623372316403,69.62348061975064,19.131442741754594,167.9973916218895,10.061783861446681,22.44083723689613,0.7160233132995576,0.24773030360396223,0.9527510818808013
33024.0,804.7493423223495,0.6407937670780924,0.9564688504648536,0.5510888610763455,0.8870615967942584,3.073894173367522,6.523298052239743,9.893799505166323,9.990375197270588,-9.999999999999964,-9.99999686736337,-9.999999999999932,114.76954202134037,22.358484755563,156.48923989929264,13.613198759574662,181.638862246733,10.802245882292867,18.836530392039325,8.739688868269422,93.57043519961636,31.424911157876785,181.63931183311354,10.802678479185241,21.53391049765728,0.8011926452276452,0.44937080644459115,0.972281560916217
35811.5,792.0802955627441,0.7172886472045239,0.9670681321055332,0.7082130285171855,0.7897666302012057,3.1523276068649517,7.064197634199262,9.903271672822907,9.995691760832765,-9.99999999999998,-9.999998806091368,9.999999999999991,136.47767758353618,22.278754121396602,169.39522018145607,14.705756323020891,184.3391790219075,10.006101517133532,20.999668068156673,4.180422805312874,66.75708121265767,25.760327125607734,184.3392343438814,10.006138343419497,26.072914760956444,0.7981878708913946,0.3061496734639337,0.9644492673732612
27484.0,689.411248087883,0.7266630446489406,0.9812735419604763,0.694040404040404,0.8183770404112323,3.1396554197964646,6.923860960515054,9.907062487740998,9.993354704720394,9.999999999999988,9.99999976883517,9.999999999999961,127.33884089272858,25.00869070734194,161.7059035277178,13.91873880214673,180.79222462203023,7.45638317997746,19.236717062634987,5.680164382134324,76.17433405327574,29.934528209546734,180.79222462203023,7.45638317997746,27.06949128235101,0.7996405005060184,0.3160563852636211,0.9610086324640269
31292.0,774.0386654138565,0.6563233791104556,0.9578352897962932,0.6243914119243356,0.8740074744599269,3.089904753151618,6.587425497391732,9.938817645658476,9.986197301966095,9.999999999999902,9.999993045876973,-9.999999999999996,142.54380750624466,24.324055163906905,164.11569228823473,16.979188466698865,175.98030164100294,12.884904531548658,19.87741486704398,10.678019530718872,49.43197268156955,25.45248800495059,175.98068106364815,12.885314904499886,25.453897982615665,0.805338412349664,0.3729727525416311,0.9680527366590523
44845.5,812.7665868997574,0.8530943229433499,0.9907214103456274,0.7819343702050495,0.6248158692497091,3.190857760623272,7.609248712113806,9.996797150154228,9.999962222744236,-10.0,-9.999999994158564,-10.0,130.13126687021548,19.009236748643684,156.09239346873755,15.452962995230843,168.97710075667064,12.166130019936567,20.32645249789814,7.9851600730879815,59.364971901411565,18.716924851225368,168.97752112925352,12.1666099857632,21.476008906556203,0.7906569246218191,0.24802955570300533,0.9584579765938348
